"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITF2","Molise","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",130,,
"ITF5","Basilicata","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",25,,
"ITFG","Mezzogiorno","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.8,,
"ITD","Nord-est","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",2255,,
"ITF1","Abruzzo","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",22.7,,
"ITE1","Toscana","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",739,,
"ITC","Nord-ovest","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",42.1,,
"ITF6","Calabria","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",19.4,,
"2","metropolitan area - centre","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",84.7,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",60.8,,
"ITF","Sud","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4,,
"6","until 2,000 inhab.","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",8.9,,
"ITF3","Campania","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",1245,,
"ITG2","Sardegna","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",317,,
"ITD5","Emilia-Romagna","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.9,,
"ITF3","Campania","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",4042,,
"ITE","Centro (I)","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",8.2,,
"ITF2","Molise","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",29,,
"ITC","Nord-ovest","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",8,,
"3","metropolitan area - suburbs","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1150,,
"ITD","Nord-est","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",660,,
"ITF6","Calabria","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",3.8,,
"ITD3","Veneto","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",2011,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",2.2,,
"ITCD","Nord","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",3237,,
"ITF5","Basilicata","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",7.1,,
"ITC4","Lombardia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",261,,
"ITE4","Lazio","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",349,,
"ITFG","Mezzogiorno","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",67.6,,
"6","until 2,000 inhab.","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",757,,
"ITG","Isole","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",39,,
"ITD5","Emilia-Romagna","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.6,,
"ITF1","Abruzzo","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",298,,
"ITF6","Calabria","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.7,,
"ITF","Sud","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",328,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",5.5,,
"ITE","Centro (I)","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.5,,
"ITF3","Campania","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",840,,
"ITC","Nord-ovest","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.5,,
"ITG1","Sicilia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.9,,
"ITC1","Piemonte","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",101,,
"ITF2","Molise","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",9,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",4.7,,
"ITG1","Sicilia","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",17.2,,
"ITD","Nord-est","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",698,,
"2","metropolitan area - centre","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1100,,
"ITF1","Abruzzo","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.6,,
"9","50,001 inhab. and over","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",1713,,
"9","50,001 inhab. and over","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",68.8,,
"ITFG","Mezzogiorno","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",1938,,
"ITF","Sud","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",982,,
"ITC4","Lombardia","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",13,,
"ITD2","Provincia Autonoma Trento","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",38.8,,
"ITE4","Lazio","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",12.5,,
"ITFG","Mezzogiorno","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",4661,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",230,,
"ITG","Isole","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",18.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",442,,
"ITE","Centro (I)","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",45.4,,
"ITC4","Lombardia","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",1528,,
"ITC3","Liguria","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",43,,
"2","metropolitan area - centre","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",1606,,
"ITG1","Sicilia","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",863,,
"ITC4","Lombardia","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.1,,
"ITD","Nord-est","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",45.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",16.5,,
"ITE3","Marche","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",14.9,,
"ITE2","Umbria","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",45,,
"ITD3","Veneto","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",131,,
"ITF4","Puglia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",7.1,,
"ITD3","Veneto","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",695,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",2.8,,
"ITE","Centro (I)","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1413,,
"ITCD","Nord","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.8,,
"ITC1","Piemonte","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",758,,
"ITC3","Liguria","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",45.2,,
"ITC1","Piemonte","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.3,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",204,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",12,,
"ITF4","Puglia","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",878,,
"ITCD","Nord","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",1156,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",3.5,,
"ITF3","Campania","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",38.6,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",64,,
"ITD","Nord-est","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.4,,
"ITD3","Veneto","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.5,,
"ITF6","Calabria","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.6,,
"ITF","Sud","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",39.2,,
"ITF5","Basilicata","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",95,,
"ITE2","Umbria","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",5.1,,
"ITF1","Abruzzo","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",66.4,,
"ITF5","Basilicata","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",65.4,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",63,,
"ITC3","Liguria","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.8,,
"ITFG","Mezzogiorno","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",13950,,
"ITF4","Puglia","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.4,,
"ITE3","Marche","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",3.8,,
"ITF","Sud","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",67.8,,
"ITCD","Nord","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",19131,,
"3","metropolitan area - suburbs","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",409,,
"ITFG","Mezzogiorno","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",36.5,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",12.8,,
"ITF6","Calabria","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",8.2,,
"7","2,001 - 10,000 inhab.","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",42.3,,
"ITC1","Piemonte","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",19.2,,
"ITF3","Campania","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",8.3,,
"ITF1","Abruzzo","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",126,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",18,,
"ITC","Nord-ovest","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1915,,
"ITE1","Toscana","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.2,,
"ITF2","Molise","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",20.4,,
"ITE2","Umbria","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",47.8,,
"6","until 2,000 inhab.","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",20,,
"ITF6","Calabria","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",92,,
"ITF1","Abruzzo","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",204,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",15,,
"ITCD","Nord","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",1714,,
"ITF3","Campania","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",37.5,,
"ITD5","Emilia-Romagna","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",3.9,,
"7","2,001 - 10,000 inhab.","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.1,,
"ITE1","Toscana","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",748,,
"ITDA","Trentino Alto Adige / Südtirol","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",35.7,,
"ITD3","Veneto","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",19.3,,
"ITE1","Toscana","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.2,,
"ITE3","Marche","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.9,,
"ITG2","Sardegna","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",356,,
"ITF2","Molise","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",37,,
"ITE","Centro (I)","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.8,,
"ITCD","Nord","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",20.7,,
"ITE4","Lazio","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",733,,
"ITD5","Emilia-Romagna","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",173,,
"ITC1","Piemonte","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",1820,,
"ITE4","Lazio","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.4,,
"ITF6","Calabria","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",102,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.2,,
"ITD5","Emilia-Romagna","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",5.3,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",119,,
"ITG","Isole","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",6.1,,
"ITE","Centro (I)","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",41.2,,
"3","metropolitan area - suburbs","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",5.2,,
"ITC4","Lombardia","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1299,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",115,,
"ITF","Sud","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",558,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",14.6,,
"ITE","Centro (I)","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.6,,
"ITG2","Sardegna","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",112,,
"ITF","Sud","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.6,,
"ITFG","Mezzogiorno","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.4,,
"ITCD","Nord","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",69.4,,
"ITF","Sud","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6,,
"ITE","Centro (I)","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",2110,,
"ITF6","Calabria","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5.2,,
"ITG","Isole","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",254,,
"ITE","Centro (I)","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",16.5,,
"ITG","Isole","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5.8,,
"2","metropolitan area - centre","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",1517,,
"ITG1","Sicilia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",6.5,,
"ITE1","Toscana","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",48.5,,
"ITF1","Abruzzo","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.5,,
"ITF5","Basilicata","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.4,,
"ITD","Nord-est","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",1943,,
"ITD3","Veneto","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",3376,,
"ITC1","Piemonte","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",419,,
"ITE2","Umbria","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",197,,
"ITF2","Molise","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.8,,
"ITG2","Sardegna","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",5.1,,
"ITC","Nord-ovest","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",12,,
"ITE2","Umbria","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",27.8,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.4,,
"ITC1","Piemonte","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21.9,,
"ITG","Isole","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",734,,
"ITE","Centro (I)","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",702,,
"ITFG","Mezzogiorno","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5,,
"ITG1","Sicilia","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.7,,
"ITD2","Provincia Autonoma Trento","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",16.1,,
"7","2,001 - 10,000 inhab.","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.8,,
"ITFG","Mezzogiorno","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",813,,
"ITC","Nord-ovest","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",1054,,
"ITF","Sud","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",16.9,,
"ITDA","Trentino Alto Adige / Südtirol","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",378,,
"ITG1","Sicilia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",326,,
"ITD2","Provincia Autonoma Trento","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",207,,
"ITF","Sud","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",832,,
"ITD","Nord-est","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",41.6,,
"ITC4","Lombardia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.6,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.5,,
"ITG","Isole","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",4470,,
"ITE","Centro (I)","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",661,,
"ITF1","Abruzzo","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",242,,
"ITD5","Emilia-Romagna","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",759,,
"3","metropolitan area - suburbs","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",1323,,
"ITF6","Calabria","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",378,,
"ITC3","Liguria","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",18.8,,
"7","2,001 - 10,000 inhab.","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",5549,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",5.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.7,,
"ITE4","Lazio","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",8.9,,
"ITG1","Sicilia","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.4,,
"ITF3","Campania","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",2178,,
"ITF2","Molise","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",15,,
"ITC1","Piemonte","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",175,,
"ITF1","Abruzzo","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.9,,
"ITE2","Umbria","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",245,,
"ITD","Nord-est","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1322,,
"ITD3","Veneto","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",219,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",13.7,,
"ITC","Nord-ovest","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.1,,
"ITE1","Toscana","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",201,,
